id,experience,modality,Features,Feature selection,Feature number considered,Feature number selected,feature_type,feature_dim,dim_reduction
28,NA,PPG,time series data (Automatic feature extraction via DL),Implicit via training; no explicit selection mechanism,NA,NA,deep,NA,no
36,Hexoskin M50 NB,ECG,"Fiducial features, manhattan- and euclidian distances: Qamp, Ramp, Samp, Tamp, QQman, RRman, SSman, TTman, QQeuc, RReuc, SSeuc, TTeuc, Manhattan distances of QR, ST, RS, RT, QS, QT, RST, and QRS for 1/2/3 peaks",all features examined individually for direct verification performance,28,NA,handcrafted,medium,no
36,Hexoskin M40 NB,ECG,"Fiducial features, manhattan- and euclidian distances: Qamp, Ramp, Samp, Tamp, QQman, RRman, SSman, TTman, QQeuc, RReuc, SSeuc, TTeuc, Manhattan distances of QR, ST, RS, RT, QS, QT, RST, and QRS for 1/2/3 peaks",all features examined individually for direct verification performance,28,NA,handcrafted,medium,no
36,Hexoskin M30 NB,ECG,"Fiducial features, manhattan- and euclidian distances: Qamp, Ramp, Samp, Tamp, QQman, RRman, SSman, TTman, QQeuc, RReuc, SSeuc, TTeuc, Manhattan distances of QR, ST, RS, RT, QS, QT, RST, and QRS for 1/2/3 peaks",all features examined individually for direct verification performance,28,NA,handcrafted,medium,no
36,Hexoskin E50 NB,ECG,"Fiducial features, manhattan- and euclidian distances: Qamp, Ramp, Samp, Tamp, QQman, RRman, SSman, TTman, QQeuc, RReuc, SSeuc, TTeuc, Manhattan distances of QR, ST, RS, RT, QS, QT, RST, and QRS for 1/2/3 peaks",all features examined individually for direct verification performance,28,NA,handcrafted,medium,no
36,Hexoskin E40 NB,ECG,"Fiducial features, manhattan- and euclidian distances: Qamp, Ramp, Samp, Tamp, QQman, RRman, SSman, TTman, QQeuc, RReuc, SSeuc, TTeuc, Manhattan distances of QR, ST, RS, RT, QS, QT, RST, and QRS for 1/2/3 peaks",all features examined individually for direct verification performance,28,NA,handcrafted,medium,no
36,Hexoskin E30 NB,ECG,"Fiducial features, manhattan- and euclidian distances: Qamp, Ramp, Samp, Tamp, QQman, RRman, SSman, TTman, QQeuc, RReuc, SSeuc, TTeuc, Manhattan distances of QR, ST, RS, RT, QS, QT, RST, and QRS for 1/2/3 peaks",all features examined individually for direct verification performance,28,NA,handcrafted,medium,no
36,Hexoskin M50 DT,ECG,"Fiducial features, manhattan- and euclidian distances: Qamp, Ramp, Samp, Tamp, QQman, RRman, SSman, TTman, QQeuc, RReuc, SSeuc, TTeuc, Manhattan distances of QR, ST, RS, RT, QS, QT, RST, and QRS for 1/2/3 peaks",all features examined individually for direct verification performance,28,NA,handcrafted,medium,no
36,Hexoskin M40 DT,ECG,"Fiducial features, manhattan- and euclidian distances: Qamp, Ramp, Samp, Tamp, QQman, RRman, SSman, TTman, QQeuc, RReuc, SSeuc, TTeuc, Manhattan distances of QR, ST, RS, RT, QS, QT, RST, and QRS for 1/2/3 peaks",all features examined individually for direct verification performance,28,NA,handcrafted,medium,no
36,Hexoskin M30 DT,ECG,"Fiducial features, manhattan- and euclidian distances: Qamp, Ramp, Samp, Tamp, QQman, RRman, SSman, TTman, QQeuc, RReuc, SSeuc, TTeuc, Manhattan distances of QR, ST, RS, RT, QS, QT, RST, and QRS for 1/2/3 peaks",all features examined individually for direct verification performance,28,NA,handcrafted,medium,no
36,Hexoskin E50 DT,ECG,"Fiducial features, manhattan- and euclidian distances: Qamp, Ramp, Samp, Tamp, QQman, RRman, SSman, TTman, QQeuc, RReuc, SSeuc, TTeuc, Manhattan distances of QR, ST, RS, RT, QS, QT, RST, and QRS for 1/2/3 peaks",all features examined individually for direct verification performance,28,NA,handcrafted,medium,no
36,Hexoskin E40 DT,ECG,"Fiducial features, manhattan- and euclidian distances: Qamp, Ramp, Samp, Tamp, QQman, RRman, SSman, TTman, QQeuc, RReuc, SSeuc, TTeuc, Manhattan distances of QR, ST, RS, RT, QS, QT, RST, and QRS for 1/2/3 peaks",all features examined individually for direct verification performance,28,NA,handcrafted,medium,no
36,Hexoskin E30 DT,ECG,"Fiducial features, manhattan- and euclidian distances: Qamp, Ramp, Samp, Tamp, QQman, RRman, SSman, TTman, QQeuc, RReuc, SSeuc, TTeuc, Manhattan distances of QR, ST, RS, RT, QS, QT, RST, and QRS for 1/2/3 peaks",all features examined individually for direct verification performance,28,NA,handcrafted,medium,no
43,NA,ECG,invariant features of “RR” intervals,NA,NA,NA,handcrafted,NA,no
55,Empatica kNN 9/1,PPG,"Mean RR, STD RR, RMSSD, pNN50, HRV triangular index, TINN, SDSD, LF, HF, LF/HF, VLF",correlation-based stepwise feature selection (none excluded),11,11,handcrafted,low,no
55,Empatica RF 9/1,PPG,"Mean RR, STD RR, RMSSD, pNN50, HRV triangular index, TINN, SDSD, LF, HF, LF/HF, VLF",correlation-based stepwise feature selection (none excluded),11,11,handcrafted,low,no
55,Empatica MLP 9/1,PPG,"Mean RR, STD RR, RMSSD, pNN50, HRV triangular index, TINN, SDSD, LF, HF, LF/HF, VLF",correlation-based stepwise feature selection (none excluded),11,11,handcrafted,low,no
55,Empatica LR 9/1,PPG,"Mean RR, STD RR, RMSSD, pNN50, HRV triangular index, TINN, SDSD, LF, HF, LF/HF, VLF",correlation-based stepwise feature selection (none excluded),11,11,handcrafted,low,no
55,Empatica NB 9/1,PPG,"Mean RR, STD RR, RMSSD, pNN50, HRV triangular index, TINN, SDSD, LF, HF, LF/HF, VLF",correlation-based stepwise feature selection (none excluded),11,11,handcrafted,low,no
55,S kNN 9/1,PPG,"Mean RR, STD RR, RMSSD, pNN50, HRV triangular index, TINN, SDSD, LF, HF, LF/HF, VLF",correlation-based stepwise feature selection (none excluded),11,11,handcrafted,low,no
55,S RF 9/1,PPG,"Mean RR, STD RR, RMSSD, pNN50, HRV triangular index, TINN, SDSD, LF, HF, LF/HF, VLF",correlation-based stepwise feature selection (none excluded),11,11,handcrafted,low,no
55,S MLP 9/1,PPG,"Mean RR, STD RR, RMSSD, pNN50, HRV triangular index, TINN, SDSD, LF, HF, LF/HF, VLF",correlation-based stepwise feature selection (none excluded),11,11,handcrafted,low,no
55,S LR 9/1,PPG,"Mean RR, STD RR, RMSSD, pNN50, HRV triangular index, TINN, SDSD, LF, HF, LF/HF, VLF",correlation-based stepwise feature selection (none excluded),11,11,handcrafted,low,no
55,S NB 9/1,PPG,"Mean RR, STD RR, RMSSD, pNN50, HRV triangular index, TINN, SDSD, LF, HF, LF/HF, VLF",correlation-based stepwise feature selection (none excluded),11,11,handcrafted,low,no
55,S2 kNN 9/1,PPG,"Mean RR, STD RR, RMSSD, pNN50, HRV triangular index, TINN, SDSD, LF, HF, LF/HF, VLF",correlation-based stepwise feature selection (none excluded),11,11,handcrafted,low,no
55,S2 RF 9/1,PPG,"Mean RR, STD RR, RMSSD, pNN50, HRV triangular index, TINN, SDSD, LF, HF, LF/HF, VLF",correlation-based stepwise feature selection (none excluded),11,11,handcrafted,low,no
55,S2 MLP 9/1,PPG,"Mean RR, STD RR, RMSSD, pNN50, HRV triangular index, TINN, SDSD, LF, HF, LF/HF, VLF",correlation-based stepwise feature selection (none excluded),11,11,handcrafted,low,no
55,S2 LR 9/1,PPG,"Mean RR, STD RR, RMSSD, pNN50, HRV triangular index, TINN, SDSD, LF, HF, LF/HF, VLF",correlation-based stepwise feature selection (none excluded),11,11,handcrafted,low,no
55,S2 NB 9/1,PPG,"Mean RR, STD RR, RMSSD, pNN50, HRV triangular index, TINN, SDSD, LF, HF, LF/HF, VLF",correlation-based stepwise feature selection (none excluded),11,11,handcrafted,low,no
55,Empatica kNN 7/3,PPG,"Mean RR, STD RR, RMSSD, pNN50, HRV triangular index, TINN, SDSD, LF, HF, LF/HF, VLF",correlation-based stepwise feature selection (none excluded),11,11,handcrafted,low,no
55,Empatica RF 7/3,PPG,"Mean RR, STD RR, RMSSD, pNN50, HRV triangular index, TINN, SDSD, LF, HF, LF/HF, VLF",correlation-based stepwise feature selection (none excluded),11,11,handcrafted,low,no
55,Empatica MLP 7/3,PPG,"Mean RR, STD RR, RMSSD, pNN50, HRV triangular index, TINN, SDSD, LF, HF, LF/HF, VLF",correlation-based stepwise feature selection (none excluded),11,11,handcrafted,low,no
55,Empatica LR 7/3,PPG,"Mean RR, STD RR, RMSSD, pNN50, HRV triangular index, TINN, SDSD, LF, HF, LF/HF, VLF",correlation-based stepwise feature selection (none excluded),11,11,handcrafted,low,no
55,Empatica NB 7/3,PPG,"Mean RR, STD RR, RMSSD, pNN50, HRV triangular index, TINN, SDSD, LF, HF, LF/HF, VLF",correlation-based stepwise feature selection (none excluded),11,11,handcrafted,low,no
55,S kNN 7/3,PPG,"Mean RR, STD RR, RMSSD, pNN50, HRV triangular index, TINN, SDSD, LF, HF, LF/HF, VLF",correlation-based stepwise feature selection (none excluded),11,11,handcrafted,low,no
55,S RF 7/3,PPG,"Mean RR, STD RR, RMSSD, pNN50, HRV triangular index, TINN, SDSD, LF, HF, LF/HF, VLF",correlation-based stepwise feature selection (none excluded),11,11,handcrafted,low,no
55,S MLP 7/3,PPG,"Mean RR, STD RR, RMSSD, pNN50, HRV triangular index, TINN, SDSD, LF, HF, LF/HF, VLF",correlation-based stepwise feature selection (none excluded),11,11,handcrafted,low,no
55,S LR 7/3,PPG,"Mean RR, STD RR, RMSSD, pNN50, HRV triangular index, TINN, SDSD, LF, HF, LF/HF, VLF",correlation-based stepwise feature selection (none excluded),11,11,handcrafted,low,no
55,S NB 7/3,PPG,"Mean RR, STD RR, RMSSD, pNN50, HRV triangular index, TINN, SDSD, LF, HF, LF/HF, VLF",correlation-based stepwise feature selection (none excluded),11,11,handcrafted,low,no
55,S2 kNN 7/3,PPG,"Mean RR, STD RR, RMSSD, pNN50, HRV triangular index, TINN, SDSD, LF, HF, LF/HF, VLF",correlation-based stepwise feature selection (none excluded),11,11,handcrafted,low,no
55,S2 RF 7/3,PPG,"Mean RR, STD RR, RMSSD, pNN50, HRV triangular index, TINN, SDSD, LF, HF, LF/HF, VLF",correlation-based stepwise feature selection (none excluded),11,11,handcrafted,low,no
55,S2 MLP 7/3,PPG,"Mean RR, STD RR, RMSSD, pNN50, HRV triangular index, TINN, SDSD, LF, HF, LF/HF, VLF",correlation-based stepwise feature selection (none excluded),11,11,handcrafted,low,no
55,S2 LR 7/3,PPG,"Mean RR, STD RR, RMSSD, pNN50, HRV triangular index, TINN, SDSD, LF, HF, LF/HF, VLF",correlation-based stepwise feature selection (none excluded),11,11,handcrafted,low,no
55,S2 NB 7/3,PPG,"Mean RR, STD RR, RMSSD, pNN50, HRV triangular index, TINN, SDSD, LF, HF, LF/HF, VLF",correlation-based stepwise feature selection (none excluded),11,11,handcrafted,low,no
75,SVM AC/DCT,VHF,20 autocorrelation (AC) and discrete cosine transform (DCT) features from I and Q waveforms,PCA,40,24,handcrafted,medium,yes
75,RF AC/DCT,VHF,20 autocorrelation (AC) and discrete cosine transform (DCT) features from I and Q waveforms,PCA,40,24,handcrafted,medium,yes
75,XGB AC/DCT,VHF,20 autocorrelation (AC) and discrete cosine transform (DCT) features from I and Q waveforms,PCA,40,24,handcrafted,medium,yes
75,MLP AC/DCT,VHF,20 autocorrelation (AC) and discrete cosine transform (DCT) features from I and Q waveforms,PCA,40,24,handcrafted,medium,yes
75,SVM MFCC,VHF,24 mel-frequency cepstrum coefficient (MFCC) features from I and Q waveforms,PCA,48,24,handcrafted,medium,yes
